# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 106, mean track length: 2
86 11.904976007387798 2.3066594185069245 30.740045270228247 11 10 14 2.489831509421693 282 470 261 462
87 11.904976007387798 2.3066594185069245 30.740045270228247 11 10 14 2.489831509421693 282 469 261 463
88 9.945339765872653 7.8302718523987815 31.070925702501626 33 38 41 0.63640340255033201 282 462 261 465
89 11.163347146681858 7.8794796409665766 30.854775602496709 4 9 5 0.18666523903444177 282 472 261 478
90 10.14237167233235 9.2166695833916261 30.279305941298428 242 232 230 0.35898935062406356 282 474 261 479
91 6.2686519550141924 9.7861380502490256 30.485722011691756 196 195 203 0.24690385292690845 282 475 261 480
92 13.077744225103288 1.4890174839529435 30.607851043661046 254 255 255 0.72101136790907372 282 477 261 484
93 9.1614130758402741 5.8917157347187725 31.112072630951491 244 228 208 0.023440769742210574 282 489 261 487
94 8.8140685306468196 8.3497702768269768 30.634019620672298 23 21 6 0.46737677030397307 282 493 261 489
95 9.9554532322325997 9.783500775153108 30.185208692342556 238 221 222 0.96602698415111421 282 501 261 501
96 5.4237728537752528 15.393545899224137 28.941041321543693 0 0 0 0.44620614180041329 282 499 261 502
97 8.2531938424145448 -6.4995772080264658 29.678634505640417 1 1 1 0.98385123431075927 282 486 261 503
98 8.8502265862962606 11.588146772213662 28.198765871272538 26 39 56 0.17802283015903847 282 502 261 506
99 8.8502265862962606 11.588146772213662 28.198765871272538 26 39 56 0.17802283015903847 282 503 261 507
100 8.1339634993548717 2.1559509519995963 30.993556013823916 0 0 0 0.72653105821418396 282 506 261 509
101 8.1339634993548717 2.1559509519995963 30.993556013823916 0 0 0 0.72653105821418396 282 505 261 510
102 7.2076458981263265 6.7201771384026872 32.297916911004179 253 248 161 0.064966605072574263 282 507 261 512
103 10.387556544882642 -1.1006536006706384 30.666510829938073 215 210 206 1.1669664632536847 282 511 261 515
104 -3.7957267361218903 -3.8675022403931432 25.112749161164913 4 4 4 0.085391286845689668 282 513 261 518
105 5.89056380381039 9.9451290706276829 31.03485655004544 204 203 211 2.2262895264185856 282 515 261 519
106 6.078192120640078 -2.8347523396783241 29.530512909464647 0 0 0 0.47153776994172497 282 514 261 520
