# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 283, mean track length: 2
89 5.5810048811751898 -2.6198602744057249 32.217431641498671 102 97 101 0.014982315162038682 242 1326 186 2089
90 5.5537942395862263 -2.5498243287523192 32.252480066252375 10 8 11 0.16297389088921221 242 875 186 2101
91 7.2190562922695394 -2.4843085846121449 32.884363180042186 60 56 45 0.14239052351277198 242 1336 186 2109
92 4.5027745733633457 -2.310401179252525 31.652619351570682 15 16 20 0.020923251919508841 242 892 186 2123
93 5.9397190704682084 -2.2752059228353412 32.440209266535234 26 25 31 0.019011824187921432 242 908 186 2133
94 7.267452777697966 -2.2950503349489977 33.148270020581556 28 29 15 0.27622929119251832 242 913 186 2141
95 3.4364064632713722 -2.006214282114656 30.994278916747032 71 67 63 0.36238164868199124 242 176 186 2160
96 5.1574550323994455 -2.0510575155759714 31.99288067812568 44 43 47 0.3893388925913166 242 1349 186 2167
97 3.792306147858818 -1.8598121825424887 31.233026556483523 34 35 27 0.31441483428567607 242 192 186 2189
98 7.4946768283992542 -1.9111187978582374 32.961148391538266 79 82 79 0.13268329813082441 242 1363 186 2195
99 5.7428432936709886 -1.7916370120058103 32.373010589977021 102 101 106 0.077297476969361983 242 1365 186 2209
100 6.336760705137169 -1.7780410527056458 32.586844098575988 105 106 108 0.40849894771852169 242 944 186 2211
101 6.3398749264433514 -1.7932041362155338 32.652049616847293 105 106 108 0.17052579670311574 242 1366 186 2212
102 7.9114734839220668 -1.7088588686964288 33.055026286173081 37 38 40 0.31168731731108434 242 952 186 2220
103 7.5983894474249167 -1.6791223222675551 32.966257145651369 20 21 25 0.38736017420104729 242 1368 186 2222
104 6.6873548577407602 -1.6639600737730167 32.748391832357598 18 17 22 0.12368715680584448 242 953 186 2227
105 8.5991775425820851 -1.4552946041491162 33.140533761046385 22 21 26 0.011888466619545563 242 965 186 2263
106 4.8802252509484072 -1.3491030436631288 32.175620235330854 24 24 13 0.16375007189752139 242 972 186 2274
107 4.6485799298185535 -1.2448089884336784 31.991533112992069 43 45 9 0.1911212955791407 242 286 186 2282
108 3.6232294421313029 -1.1714148514899569 31.208804907744863 116 116 65 0.16186660838182793 242 978 186 2290
109 3.4837254731313552 -1.1518256796478867 31.066955390178983 54 51 10 0.19415245695946304 242 981 186 2292
110 7.1552084379958849 -1.1761028891804559 33.208801124895274 7 7 10 0.27399482719165641 242 993 186 2300
111 3.599167981426493 -1.0941887844278682 31.185191785977693 50 50 6 0.1636571074008813 242 994 186 2303
112 3.8563473548304175 -1.1063224624174566 31.501357349484326 97 103 59 0.45325367856497772 242 1389 186 2307
113 4.9292824644575379 -1.088542214182731 32.239084482734128 48 51 34 0.0056956124490281108 242 1000 186 2311
114 3.9908119086324572 -1.0249012157406354 31.443707458694814 97 102 64 0.27150954237863539 242 1396 186 2314
115 5.1218047093318155 -1.0476774585848856 32.286985143190513 42 44 32 0.48879173803748166 242 1007 186 2316
116 6.1400552132578978 -1.0703270057033203 32.757011579166672 34 33 38 0.045383000206870944 242 1004 186 2317
117 6.6782430310481145 -1.0158469630727456 33.133123353293101 47 50 41 0.30121933362413933 242 341 186 2321
118 6.1534574615402882 -0.90802832260300559 32.912866769181967 30 30 30 0.25278032101884784 242 1015 186 2337
119 8.6660921418466366 -0.86897253904416549 33.56911327245146 70 72 68 0.11721588355547141 242 1026 186 2350
120 8.8925041558629907 -0.85336217621680555 33.421279153853447 89 91 87 0.36655868346168641 242 1403 186 2352
121 6.5828802881157911 -0.8160002158481009 32.995275296308968 64 61 42 0.31054220674484179 242 1406 186 2357
122 4.9427911465521843 -0.7376572912520406 32.228505701355608 60 60 38 0.029450855874254708 242 1038 186 2373
123 7.8698327805374184 -0.76811626803000599 33.409663581837513 21 27 15 0.049496120596976834 242 1409 186 2374
124 5.6623846254791834 -0.71645081705045754 32.658851224463596 55 57 36 0.09769889883209748 242 1039 186 2378
125 5.5420467183832542 -0.70359538301839175 32.587913674816477 111 114 85 0.0044581050824038159 242 382 186 2380
126 6.4335521295574285 -0.59405689093698877 32.987786466101454 115 113 100 0.097307563388354945 242 1418 186 2402
127 7.3185848875071926 -0.4752496171243889 33.4790641010485 54 50 21 0.53442869563337714 242 1058 186 2422
128 3.310247256920265 -0.34937951095268238 30.822907969079559 137 138 123 0.6492851591470854 242 428 186 2431
129 6.7533379610496818 -0.2539378891141319 33.293609186820653 57 54 45 0.27165532700267198 242 1081 186 2462
130 7.6643263818523604 -0.2356526679938917 33.536045604883356 124 127 101 0.080272606492925086 242 1082 186 2466
131 7.4248097828866646 -0.10985781533404547 33.525179430927501 107 108 74 0.22496849301794203 242 1442 186 2475
132 6.5375568141917837 -0.099865878977759934 33.240412475937205 114 113 91 0.85566465956724524 242 1090 186 2482
133 2.589390609460327 0.83282491869201125 15.186959795084324 255 243 250 0.35218815288105065 242 659 186 2646
134 1.0074916885095182 0.866069682616467 15.797687069719421 35 2 3 0.45442067607747227 242 1694 186 2651
135 11.413376091174099 1.1246839642750612 20.2390567672001 104 109 69 0.095075858538571631 242 1184 186 2657
136 1.3309250897077283 1.0462790094015468 15.578679136061609 74 4 20 0.12381202467547264 242 1704 186 2666
137 9.0452675706297025 -4.4885407231423082 33.161261047870589 219 232 238 0.6617976275800137 242 1262 186 2718
138 9.4283440528638831 -4.2597346903221069 33.269622606755775 218 228 230 0.47221208870728093 242 1279 186 2743
139 5.0586735857975791 -3.9269704501765026 31.378262135247571 85 85 87 0.078540940468406678 242 1270 186 2748
140 4.7963771553776011 -3.7748112377803609 31.374933798241265 11 10 15 0.022787219316052935 242 1277 186 2756
141 4.7963771553776011 -3.7748112377803609 31.374933798241265 11 10 15 0.022787219316052935 242 1278 186 2757
142 5.1793806285479498 -3.7189564303213025 31.573428995937768 70 72 69 0.34813292211155511 242 1282 186 2765
143 5.0603056671297484 -3.630290416296027 31.513832439562027 25 24 29 0.092521458183284944 242 809 186 2775
144 10.927588651907206 -3.5321804153761884 33.674913212015987 35 45 54 0.012136453415065611 242 1300 186 2799
145 10.958456950314401 -3.4262471283396487 33.735964748642196 54 69 72 0.027095655585767455 242 1305 186 2809
146 3.9346122641912276 -3.1337421815415412 31.125355247437273 42 35 25 0.32562359218998893 242 827 186 2811
147 4.5078315902420663 -3.1143385151879639 31.383764947351466 33 29 30 0.61340220298746195 242 1545 186 2814
148 12.077171303964919 -3.2634384610750948 32.920361021104071 18 25 35 0.019263765265540956 242 1310 186 2821
149 11.810517445592163 -3.2208542431375804 33.197003559998571 19 29 34 0.64349810113828898 242 1556 186 2825
150 4.7047843223539516 -3.0104664451138547 31.61472851529496 22 21 16 0.017439983587364601 242 1548 186 2828
151 5.4867997893307443 -2.8454006141392232 32.038970648047744 8 8 10 0.31994434888256174 242 1313 186 2842
152 12.070117953293977 -2.9414313709016775 32.938368975900168 8 24 24 0.13327773523490499 242 867 186 2843
153 3.7390073216372794 -2.4028621446583038 31.155972501245827 123 112 107 0.098557768140466878 242 1328 186 2862
154 5.1374953719534924 -2.3853673706109308 32.051791957697695 14 14 16 0.17065381009940134 242 890 186 2869
155 5.1374953719534924 -2.3853673706109308 32.051791957697695 14 14 16 0.17065381009940134 242 891 186 2870
156 4.2238825937694155 -2.266141353111581 31.52390222814094 20 19 24 0.028668927931409141 242 895 186 2875
157 5.6616542430973276 -2.261065095763902 32.281988836626297 36 35 40 0.25498020848627445 242 1341 186 2878
158 6.0304250644152217 -2.1945496278243994 32.60031235754095 28 27 32 0.50216799446592164 242 917 186 2884
159 6.0304250644152217 -2.1945496278243994 32.60031235754095 28 27 32 0.50216799446592164 242 918 186 2885
160 5.5928472380764545 -2.0134883268711414 32.326272589108932 84 83 88 0.0042387242464810414 242 1355 186 2896
161 4.9983497341993619 -1.769551134434644 32.077025092403879 87 86 90 0.056406710277011801 242 1364 186 2911
162 8.1521452902468958 -1.5019806025783637 33.09646169927381 20 20 22 0.14641547645365033 242 1376 186 2932
163 5.010859935845982 -1.3988806885032297 32.307329156565736 101 99 99 0.31635901955958956 242 964 186 2940
164 5.5986505722917856 -1.4045995377505114 32.61975516476145 28 27 33 0.23713406345412569 242 1380 186 2941
165 6.7339297503498781 -1.3717765889751417 32.932135256812373 20 21 25 0.021472872191206173 242 973 186 2945
166 6.1086856311261188 -1.2908570763715252 32.764875147874626 11 12 16 0.044878267872107976 242 1612 186 2948
167 6.07989866992017 -0.9770363688921323 32.874930747877535 82 82 84 0.3096853250086643 242 1012 186 2964
168 7.7680308299749994 -0.98234302128846707 33.27173180657956 57 57 59 0.42585470031659811 242 1013 186 2965
169 8.742789646511806 -0.91641904157376286 33.395666725141389 11 11 9 0.42547123589747471 242 1401 186 2969
170 7.9096394080213468 -0.90507715811796363 33.396761867851687 8 8 5 0.17214861768633516 242 1402 186 2971
171 4.7874367991137241 -0.86787290793526606 32.196742693206822 56 58 49 0.38219959733085729 242 1020 186 2973
172 4.6712053444734396 -0.80533950104956953 31.95834349743086 102 104 103 0.085879811749186796 242 1029 186 2978
173 8.2394106080226877 -0.72200965657852123 33.499314050548037 28 33 13 0.30537720328957563 242 1414 186 2992
174 7.4847353975602511 -0.59185953511144707 33.336655431392188 37 40 18 0.22269672021439441 242 1419 186 3000
175 4.5689146291650706 -0.47702712146911697 31.945456803197008 38 39 7 0.18295965287554611 242 1424 186 3010
176 8.2936211964976909 -0.45345934297623225 33.284380544996907 69 72 45 0.62998706261851178 242 1427 186 3015
177 3.80448018956778 -0.41114954395272618 31.210241239623269 113 113 79 0.11114778844948217 242 1067 186 3019
178 7.6735161082348773 -0.43134012070600403 33.511467126894139 25 29 0 0.073518911932312053 242 1428 186 3022
179 5.3657480739299661 -0.19879207604648652 32.426460333407462 102 104 67 0.081996622173721445 242 1436 186 3042
180 7.5483452504434441 -0.16384762719499041 33.466779018007664 68 68 39 0.38836074762200334 242 1658 186 3048
181 5.8899827704979772 -0.1422641909636583 32.828636867490907 74 74 51 0.078673444305157006 242 1440 186 3050
182 5.8302966957731499 -0.068911067326303699 32.744778965466026 109 111 70 0.061980805151845994 242 1095 186 3059
183 4.4697403497404338 -0.061252577058720392 31.714967647970667 136 133 106 0.17768966860531776 242 1454 186 3060
184 6.681985800608615 0.0078036211039955172 33.169716515676434 56 56 32 0.24528085266809788 242 1455 186 3064
